id_customer;product_reference;product_quantity;id_order;"Type de vente";Remise;"1=cde 0=devis";"Code tarif"
559847;191310;1;83891;PE;0;0;marketplac
560077;164500;1;84139;PE;0;0;marketplac
560339;147810;1;84435;PE;0;0;marketplac
564483;164540;1;88847;PE;0;0;marketplac
569803;195940;1;94525;PE;0;0;marketplac
570291;174880;1;95069;PE;0;0;marketplac
570291;195920;1;95069;PE;0;0;marketplac
570291;179810;10;95069;PE;0;0;marketplac
570291;537005;1;95069;PE;0;0;marketplac
570291;537007;1;95069;PE;0;0;marketplac
570291;181180;1;95069;PE;0;0;marketplac
577849;191920;1;103139;PE;0;0;marketplac
577931;534066;1;103231;PE;0;0;marketplac
580685;166500;1;106359;PE;0;0;marketplac
581487;AMBEL003;1;107147;PE;0;0;marketplac
581597;147810;11;107277;PE;0;0;marketplac
583111;225020;1;108939;PE;0;0;marketplac
583111;AMBGT002;1;108939;PE;0;0;marketplac
595041;AMBEL002;1;174403;PE;0;0;marketplac
595041;AMBPR002;1;174406;PE;0;0;marketplac
588323;191760;1;174576;PE;0;0;dumortier
588323;164570;2;174576;PE;0;0;dumortier
588323;147810;1;174576;PE;0;0;dumortier
588323;147810;1;174577;PE;0;0;dumortier
588323;164570;1;174577;PE;0;0;dumortier
588323;AMBPR002;1;174578;PE;0;0;dumortier
588323;AMBGT002;1;174579;PE;0;0;dumortier
588323;147800;1;174580;PE;0;0;dumortier
588323;164770;1;174580;PE;0;0;dumortier
588323;191760;1;174580;PE;0;0;dumortier
588323;180590;1;174581;PE;0;0;dumortier
588323;170960;1;174581;PE;0;0;dumortier
