"Id produit";"Nom du produit";"Référence du produit";"ID du groupe client";"Nom du groupe client";"Prix spécifique"
8332;"Tapis Fiat 500 - De 2007 à 2012 - Prestige";239770;31;"Remises Pro +";20.900000
8331;"Tapis Dacia Duster 2 - De 2017 à 2021 - Prestige";239860;47;"Tarifs Dumortier Souyri";19.900000
8331;"Tapis Dacia Duster 2 - De 2017 à 2021 - Prestige";239860;19;"Remises Pro";21.890000
8331;"Tapis Dacia Duster 2 - De 2017 à 2021 - Prestige";239860;31;"Remises Pro +";20.900000
8330;"Tapis Citroen C5 Aircross - De 2020 à ce jour - Prestige";239800;47;"Tarifs Dumortier Souyri";19.900000
8330;"Tapis Citroen C5 Aircross - De 2020 à ce jour - Prestige";239800;19;"Remises Pro";21.890000
8330;"Tapis Citroen C5 Aircross - De 2020 à ce jour - Prestige";239800;31;"Remises Pro +";20.900000
8329;"Tapis Citroen C3 Picasso - De 2009 à 2017 - Prestige";239840;47;"Tarifs Dumortier Souyri";19.900000
8329;"Tapis Citroen C3 Picasso - De 2009 à 2017 - Prestige";239840;19;"Remises Pro";21.890000
8329;"Tapis Citroen C3 Picasso - De 2009 à 2017 - Prestige";239840;31;"Remises Pro +";20.900000
8328;"Tapis Citroen C3 - De 2016 à 2020 - Prestige";239760;47;"Tarifs Dumortier Souyri";19.900000
8328;"Tapis Citroen C3 - De 2016 à 2020 - Prestige";239760;19;"Remises Pro";21.890000
8328;"Tapis Citroen C3 - De 2016 à 2020 - Prestige";239760;31;"Remises Pro +";20.900000
8327;"Tapis BMW Série 1 - De 2004 à 2011 - Prestige";239790;47;"Tarifs Dumortier Souyri";19.900000
8327;"Tapis BMW Série 1 - De 2004 à 2011 - Prestige";239790;19;"Remises Pro";21.890000
8327;"Tapis BMW Série 1 - De 2004 à 2011 - Prestige";239790;31;"Remises Pro +";20.900000
8326;"Tapis Volkswagen Taigo - De 09/2021 à ce jour - Vendome";250570;47;"Tarifs Dumortier Souyri";11.500000
8326;"Tapis Volkswagen Taigo - De 09/2021 à ce jour - Vendome";250570;19;"Remises Pro";12.650000
8326;"Tapis Volkswagen Taigo - De 09/2021 à ce jour - Vendome";250570;31;"Remises Pro +";12.080000
8325;"Tapis Volkswagen ID.3 100% électrique - De 11/2019 à ce jour - Vendome";250770;47;"Tarifs Dumortier Souyri";11.500000
8325;"Tapis Volkswagen ID.3 100% électrique - De 11/2019 à ce jour - Vendome";250770;19;"Remises Pro";12.650000
8325;"Tapis Volkswagen ID.3 100% électrique - De 11/2019 à ce jour - Vendome";250770;31;"Remises Pro +";12.080000
8324;"Tapis Volkswagen Golf 8 Berline & GTI - De 07/2019 à ce jour - Vendome";250560;47;"Tarifs Dumortier Souyri";11.500000
8324;"Tapis Volkswagen Golf 8 Berline & GTI - De 07/2019 à ce jour - Vendome";250560;19;"Remises Pro";12.650000
8324;"Tapis Volkswagen Golf 8 Berline & GTI - De 07/2019 à ce jour - Vendome";250560;31;"Remises Pro +";12.080000
8323;"Tapis Toyota Yaris Hybrid - De 01/2018 à ce jour - Vendome";250670;47;"Tarifs Dumortier Souyri";11.500000
8323;"Tapis Toyota Yaris Hybrid - De 01/2018 à ce jour - Vendome";250670;19;"Remises Pro";12.650000
8323;"Tapis Toyota Yaris Hybrid - De 01/2018 à ce jour - Vendome";250670;31;"Remises Pro +";12.080000
8322;"Tapis Toyota Yaris Cross - De 07/2021 à ce jour  - Vendome";250660;47;"Tarifs Dumortier Souyri";11.500000
8322;"Tapis Toyota Yaris Cross - De 07/2021 à ce jour  - Vendome";250660;19;"Remises Pro";12.650000
8322;"Tapis Toyota Yaris Cross - De 07/2021 à ce jour  - Vendome";250660;31;"Remises Pro +";12.080000
8321;"Tapis Renault Mégane E-Tech 100% électrique - De 02/2022 à ce jour - Vendome";250640;47;"Tarifs Dumortier Souyri";11.500000
8321;"Tapis Renault Mégane E-Tech 100% électrique - De 02/2022 à ce jour - Vendome";250640;19;"Remises Pro";12.650000
8321;"Tapis Renault Mégane E-Tech 100% électrique - De 02/2022 à ce jour - Vendome";250640;31;"Remises Pro +";12.080000
8320;"Tapis Peugeot 508 2 & 508 2 SW - De 09/2018 à ce jour - Vendome";250590;47;"Tarifs Dumortier Souyri";11.500000
8320;"Tapis Peugeot 508 2 & 508 2 SW - De 09/2018 à ce jour - Vendome";250590;19;"Remises Pro";12.650000
8320;"Tapis Peugeot 508 2 & 508 2 SW - De 09/2018 à ce jour - Vendome";250590;31;"Remises Pro +";12.080000
8319;"Tapis Peugeot 308 3 Berline & Break - De 07/2021 à ce jour - Vendome";250680;47;"Tarifs Dumortier Souyri";11.500000
8319;"Tapis Peugeot 308 3 Berline & Break - De 07/2021 à ce jour - Vendome";250680;19;"Remises Pro";12.650000
8319;"Tapis Peugeot 308 3 Berline & Break - De 07/2021 à ce jour - Vendome";250680;31;"Remises Pro +";12.080000
8318;"Tapis Opel Corsa-e 100% électrique - De 11/2019 à ce jour - Vendome";250820;47;"Tarifs Dumortier Souyri";11.500000
8318;"Tapis Opel Corsa-e 100% électrique - De 11/2019 à ce jour - Vendome";250820;19;"Remises Pro";12.650000
8318;"Tapis Opel Corsa-e 100% électrique - De 11/2019 à ce jour - Vendome";250820;31;"Remises Pro +";12.080000
8317;"Tapis Opel Mokka & Mokka X - De 06/2012 à ce jour - Vendome";250550;47;"Tarifs Dumortier Souyri";11.500000
8317;"Tapis Opel Mokka & Mokka X - De 06/2012 à ce jour - Vendome";250550;19;"Remises Pro";12.650000
8317;"Tapis Opel Mokka & Mokka X - De 06/2012 à ce jour - Vendome";250550;31;"Remises Pro +";12.080000
8316;"Tapis Opel Corsa F - De 09/2019 à ce jour - Vendome";250580;47;"Tarifs Dumortier Souyri";11.500000
8316;"Tapis Opel Corsa F - De 09/2019 à ce jour - Vendome";250580;19;"Remises Pro";12.650000
8316;"Tapis Opel Corsa F - De 09/2019 à ce jour - Vendome";250580;31;"Remises Pro +";12.080000
8315;"Tapis Nissan Leaf 100% électrique - De 07/2019 à ce jour - Vendome";250830;47;"Tarifs Dumortier Souyri";11.500000
8315;"Tapis Nissan Leaf 100% électrique - De 07/2019 à ce jour - Vendome";250830;19;"Remises Pro";12.650000
8315;"Tapis Nissan Leaf 100% électrique - De 07/2019 à ce jour - Vendome";250830;31;"Remises Pro +";12.080000
8314;"Tapis Mini Cooper S & SE 100% électrique - De 07/2019 à ce jour - Vendome";250760;47;"Tarifs Dumortier Souyri";11.500000
8314;"Tapis Mini Cooper S & SE 100% électrique - De 07/2019 à ce jour - Vendome";250760;19;"Remises Pro";12.650000
8314;"Tapis Mini Cooper S & SE 100% électrique - De 07/2019 à ce jour - Vendome";250760;31;"Remises Pro +";12.080000
8313;"Tapis Mini Cooper 3 & 5 Portes - De 01/2014 à ce jour - Vendome";250530;47;"Tarifs Dumortier Souyri";11.500000
8313;"Tapis Mini Cooper 3 & 5 Portes - De 01/2014 à ce jour - Vendome";250530;19;"Remises Pro";12.650000
8313;"Tapis Mini Cooper 3 & 5 Portes - De 01/2014 à ce jour - Vendome";250530;31;"Remises Pro +";12.080000
