reference;id_category
174510;7813
174500;7813
174490;7813
174480;7813
174470;7813
174540;7813
174520;7813
174530;7813
2329042;7813
238200;7813
2362739;7813
168670;7813
2329052;7813
241350;7813
116;7813
202550;7813
2328992;7813
223130;7813
2403610;7813
2403598;7813
196360;7813
243830;7813
243770;7813
239810;7813
243730;7813
243720;7813
2328974;7813
2403581;7813
2329040;7813
2329048;7813
2362696;7813
2329015;7813
2362719;7813
2362756;7813
2362694;7813
2362767;7813
2329032;7813
2403600;7813
2403609;7813
2403611;7813
2328973;7813
392;7813
237030;7813
2403629;7813
2329041;7813
2362698;7813
2403620;7813
236280;7813
236270;7813
168680;7813
2328975;7813
2328978;7813
2329053;7813
235380;7813
174590;7813
237050;7813
2403631;7813
2403618;7813
184020;7813
225990;7813
2362730;7813
2403582;7813
2403608;7813
2362713;7813
2362784;7813
2403633;7813
185880;7813
185870;7813
2403586;7813
2362746;7813
2403596;7813
2403599;7813
2329001;7813
2403605;7813
2403625;7813
406;7813
235650;7813
97622;7813
2403604;7813
2329017;7813
79701;7813
2403593;7813
194860;7813
2362727;7813
2403588;7813
2403613;7813
243940;7813
202500;7813
226430;7813
243780;7813
699;7813
2329002;7813
228280;7813
235400;7813
190750;7813
190760;7813
190770;7813
190740;7813
2403584;7813
2403585;7813
79801;7813
243990;7813
243840;7813
243740;7813
390;7813
176320;7813
516;7813
840;7813
2328999;7813
856;7813
164750;7813
97380;7813
223470;7813
781;7813
915;7813
2403612;7813
2362704;7813
2403632;7813
107;7813
164570;7813
191760;7813
222300;7813
233580;7813
243760;7813
187640;7813
2362692;7813
2403601;7813
244000;7813
243810;7813
243850;7813
233860;7813
199260;7813
243890;7813
225980;7813
228260;7813
97603;7813
2403590;7813
2403580;7813
236990;7813
202510;7813
179790;7813
234310;7813
542;7813
243920;7813
97602;7813
222590;7813
239260;7813
174840;7813
2328979;7813
013/991;7813
013/915;7813
787;7813
946;7813
226530;7813
233870;7813
235360;7813
44005;7813
2403592;7813
2403594;7813
97601;7813
223030;7813
223020;7813
202570;7813
235280;7813
187650;7813
186370;7813
186380;7813
404;7813
236950;7813
2329051;7813
681;7813
234350;7813
229;7813
201530;7813
201640;7813
201540;7813
201620;7813
201700;7813
201670;7813
201560;7813
201580;7813
201630;7813
201650;7813
201550;7813
201690;7813
231340;7813
201590;7813
201680;7813
201710;7813
231380;7813
201600;7813
201570;7813
201520;7813
237000;7813
243870;7813
870;7813
147810;7813
147800;7813
147790;7813
176270;7813
139;7813
50901;7813
85804;7813
237110;7813
857;7813
230200;7813
2328971;7813
2403619;7813
239160;7813
202480;7813
168940;7813
249;7813
2403583;7813
241130;7813
164770;7813
170970;7813
170960;7813
200480;7813
798;7813
97609;7813
51201;7813
42904;7813
202;7813
238;7813
795;7813
164540;7813
173020;7813
45010;7813
565;7813
233400;7813
174580;7813
97605;7813
680;7813
226;7813
614;7813
756;7813
236;7813
234490;7813
539S;7813
234;7813
943;7813
231460;7813
2403591;7813
24301;7813
164500;7813
247;7813
228;7813
164550;7813
574B;7813
235370;7813
228270;7813
235920;7813
164530;7813
233250;7813
164510;7813
234020;7813
610;7813
235340;7813
174430;7813
227320;7813
196100;7813
243;7813
977;7813
42901;7813
42902;7813
945;7813
956;7813
173030;7813
173030;7813
168660;7813
630;7813
629;7813
631;7813
224540;7813
224560;7813
222120;7813
164520;7813
234340;7813
174660;7813
42905;7813
562;7813
241970;7813
85803;7813
233900;7813
920;7813
97604;7813
71901;7813
164410;7813
42903;7813
240;7813
61002;7813
235270;7813
243970;7813
236460;7813
236430;7813
331;7813
61003;7813
440;7813
236250;7813
236540;7813
789;7813
236310;7813
98710;7813
862;7813
235960;7813
97606;7813
632;7813
97610;7813
626A;7813
626;7813
628;7813
164760;7813
241340;7813
201930;7813
222180;7813
191490;7813
222140;7813
226180;7813
97607;7813
78302;7813
174390;7813
110;7813
243980;7813
651;7813
221880;7813
221790;7813
173050;7813
173050;7813
174880;7813
174150;7813
174410;7813
867;7813
241370;7813
174160;7813
226440;7813
231750;7813
231820;7813
231740;7813
243070;7813
231410;7813
174570;7813
202540;7813
234010;7813
199730;7813
741;7813
192310;7813
243570;7813
234140;7813
231400;7813
200750;7813
200740;7813
235700;7813
98730OR;7813
54111;7813
180850;7813
180800;7813
180650;7813
180790;7813
180330;7813
180320;7813
180820;7813
409;7813
54104;7813
97621;7813
201940;7813
415260;7813
237780;7813
147;7813
415270;7813
227340;7813
268;7813
230850;7813
143580;7813
233630;7813
