Product ID;Reference;stock entrepôt
3785;180790;13
3781;180350;29
3779;180340;5
3775;180320;20
3747;180460;31
3741;180440;16
3697;180620;44
3691;180600;30
3681;180560;12
3677;180550;49
3671;180530;88
3667;180520;10
3659;180500;33
3653;180660;41
3651;180650;8
3643;180760;34
3639;180750;36
3633;180740;36
3629;180730;24
3615;180690;36
3569;179800;491
3551;515001;32
3537;199260;125
3535;164560;153
3533;164550;1598
3531;164540;1464
3529;164530;0
3527;164520;28
3491;164500;1367
3481;164510;560
3471;201930;2379
3002;164760;0
2992;230200;991
2982;164750;594
2732;123440;#N/A
2442;118;2555
2232;174660;61
2222;174590;323
2212;174580;862
2202;174570;0
2102;174540;34
2092;174530;51
2082;174520;14
2072;174510;19
2062;174500;0
2052;174490;0
2042;174480;40
2032;174470;53
1432;173050;346
1422;173040;0
1402;173020;454
1392;176320;141
1342;168690;249
1312;168680;242
1252;168660;256
1122;174410;36
1102;174390;31
337;166490;299
332;166500;91
330;174150;250
329;174160;9475
328;174880;0
327;177270;185
296;164410;0
287;448506;39
277;150950;231
274;194860;187
265;164570;1652
263;141920;1914
253;137580;2476
248;176270;302
247;174840;240
246;174876;563
244;179810;470
243;170970;0
242;170960;767
239;168940;591
237;164770;1584
235;147810;455
234;147800;150
233;147790;608
200;AMBPR008;9997
199;AMBPR004;9997
198;AMBPR004;9997
197;AMBPR004;9997
196;AMBPR007;9997
195;AMBPR003;9997
194;AMBPR006;9997
193;AMBPR005;9997
192;AMBPR002;9997
191;AMBPR009;#N/A
190;AMBPR001;9997
189;AMBPR001;9997
188;AMBPR001;9997
187;AMBGT009;9997
186;AMBGT008;9997
185;AMBGT010;9997
184;AMBGT004;9997
183;AMBGT004;9997
182;AMBGT004;9997
181;AMBGT007;9997
180;AMBGT003;9997
179;AMBGT006;9997
178;AMBGT005;9997
177;AMBGT002;9997
176;AMBGT008;9997
175;AMBGT001;9997
174;AMBGT001;9997
173;AMBGT001;9997
172;AMBEL007;#N/A
171;AMBEL004;9997
170;AMBEL004;9997
169;AMBEL004;9997
168;AMBEL006;9997
167;AMBEL003;9997
166;AMBEL005;9997
165;AMBEL002;9997
164;AMBEL002;9997
163;AMBEL008;9997
162;AMBEL001;9997
161;AMBEL001;9997
160;AMBEL001;9997
159;180660;41
158;180620;44
157;180620;44
156;180390;16
155;180800;0
154;180790;13
153;194970;20
152;180460;31
150;180650;8
149;195020;35
147;180760;34
146;180830;30
145;180830;30
143;180720;23
142;180720;23
139;180740;36
138;180740;36
135;180670;12
134;232200;0
132;180590;38
131;180590;38
127;180520;10
126;180520;10
125;180500;33
124;180500;33
123;180500;33
121;180440;16
120;180440;16
118;180750;36
117;180730;24
116;180730;24
115;180680;40
114;180680;40
112;180560;12
111;180550;49
110;180550;49
109;180550;49
108;180530;88
107;180530;88
106;180430;26
105;192860;40
