reference;id_category
223130;7817
243740;7817
243750;7817
244020;7817
243770;7817
243960;7817
243860;7817
243930;7817
243830;7817
243900;7817
116;7817
243610;7817
243660;7817
239160;7817
238200;7817
236270;7817
236280;7817
202550;7817
235380;7817
174590;7817
225980;7817
231500;7817
226180;7817
231820;7817
231750;7817
231740;7817
241970;7817
202480;7817
202500;7817
202510;7817
244170;7817
244350;7817
244370;7817
244380;7817
244390;7817
244400;7817
244410;7817
244420;7817
244430;7817
244830;7817
244840;7817
244850;7817
244860;7817
244870;7817
244960;7817
244970;7817
244990;7817
174470;7817
174480;7817
174490;7817
174500;7817
174510;7817
174520;7817
174530;7817
174540;7817
168670;7817
168690;7817
120;7817
68901;7817
223220;7817
231400;7817
243720;7817
243730;7817
243760;7817
243890;7817
243780;7817
243810;7817
243940;7817
243920;7817
243840;7817
243850;7817
244000;7817
243990;7817
185880;7817
185870;7817
185950;7817
226450;7817
201820;7817
237800;7817
236990;7817
228260;7817
237000;7817
237050;7817
228270;7817
237030;7817
237020;7817
228280;7817
191760;7817
164570;7817
176270;7817
174840;7817
187640;7817
235660;7817
415270;7817
199260;7817
234340;7817
196360;7817
235400;7817
235700;7817
202570;7817
223020;7817
223030;7817
164750;7817
235360;7817
395;7817
243070;7817
226570;7817
174570;7817
244150;7817
244160;7817
174390;7817
174410;7817
168680;7817
176320;7817
528;7817
145;7817
154;7817
159;7817
126;7817
699;7817
785;7817
79701;7817
79801;7817
31002;7817
516;7817
957;7817
97001;7817
97101;7817
806;7817
840;7817
97380;7817
978;7817
678;7817
688;7817
97622;7817
867;7817
234020;7817
234010;7817
234130;7817
234140;7817
621;7817
623;7817
625;7817
621K;7817
623K;7817
625K;7817
694;7817
69401;7817
696;7817
692;7817
693;7817
