Product ID;Final price;tva
7383;45;20
7381;20.004;20
7379;39.996;20
7377;18.6;20
7373;18;20
7371;17.0004;20
7369;0;20
7367;16.2;20
7365;26.4;20
7361;19.2;20
7359;18;20
7357;20.004;20
7355;18.996;20
7353;33;20
7351;18;20
7349;30;20
7347;19.2;20
7345;21.12;20
7343;22.44;20
7339;20.4;20
7337;19.8;20
7335;18;20
7333;18;20
7331;18;20
7321;18;20
7319;3.9;20
7317;19.8;20
7315;18;20
7313;15.996;20
7311;18;20
7309;18;20
7307;18;20
7305;18;20
7303;15.24;20
7301;15.6;20
7299;15;20
7297;15;20
7295;15;20
7293;13.5;20
7291;13.5;20
7289;15.6;20
7287;15;20
7285;18;20
7283;15.6;20
7281;16.2;20
7277;18;20
7275;17.4;20
7273;18;20
7271;15;20
7269;0;20
7267;16.2;20
7265;14.4;20
7261;23.0004;20
7259;22.2;20
7257;18;20
7255;20.004;20
7253;19.2;20
7249;18;20
7247;15;20
7245;15;20
7243;6.9;20
7241;21.6;20
7239;15.84;20
7237;50.004;20
7235;82.8;20
7233;82.8;20
7231;46;20
7229;41.4;20
7227;31.08;20
7225;52.2;20
7221;16.2;20
7219;15.72;20
7213;18;20
7205;39;20
7203;15;20
7201;15;20
7199;17.52;20
7197;16.2;20
7195;17.4;20
7193;42;20
7189;24;20
7185;16.8;20
7183;16.8;20
7179;30;20
7177;18;20
7175;16.8;20
7173;16.8;20
7171;16.8;20
7169;16.8;20
7167;16.2;20
7165;16.2;20
7163;16.2;20
7155;17.0004;20
7139;15;20
7137;15;20
7135;15;20
7133;15;20
7131;27;20
7129;25.8;20
7127;21;20
7125;20.4;20
7121;14.0004;20
7113;17.0004;20
7111;17.496;20
7107;35.0004;20
7105;21;20
7103;20.4;20
7101;20.004;20
7099;17.0004;20
7097;16.8;20
7085;14.4;20
7081;16.2;20
7077;14.0004;20
7075;17.0004;20
7069;16.8;20
7065;18;20
7061;22.71428571;20
7059;15.72;20
7057;18;20
7053;15;20
7031;17.4;20
7027;20.4;20
7023;20.4;20
7015;15;20
7013;15.6;20
6991;15;20
6989;15;20
6987;15;20
6985;15;20
6983;15;20
6981;15;20
6979;15;20
6977;15;20
6975;15;20
6973;18;20
6971;15;20
6969;15;20
6967;14.4;20
6965;18.6;20
6963;21.6;20
6961;15;20
6959;18;20
6957;18;20
6953;15;20
6951;15;20
6949;18;20
6939;24.6;20
6927;21;20
6925;19.2;20
6921;18;20
6919;15;20
6917;17.4;20
6915;15;20
6911;16.2;20
6905;16.8;20
6903;17.4;20
6901;15;20
6899;15;20
6897;15;20
6895;18;20
6893;15.996;20
6889;15;20
6887;15;20
6883;15;20
6829;30;20
6823;30;20
6821;30;20
6813;79.9;20
6811;29.95;20
6809;39.96;20
6807;63.6;20
6805;45;20
6803;57.6;20
6801;50;20
6799;60;20
6797;48;20
6795;57.6;20
6793;54;20
6791;48;20
6789;40;20
6787;39.96;20
6785;36;20
6781;37.8;20
6779;29.95;20
6771;27;20
6769;24;20
6767;29.9;20
6763;29.95;20
6761;30;20
6759;29.95;20
6755;36;20
6753;36;20
6751;36;20
6747;26.4;20
6745;24.95;20
6743;30;20
6741;24.9500004;20
6739;30;20
6737;30;20
6735;40;20
6733;130;20
6731;114.996;20
6729;105;20
6727;48;20
6725;45;20
6723;40;20
6721;30;20
6719;24.996;20
6715;39.996;20
6713;30;20
6711;24.996;20
6707;16.8;20
6705;30;20
6703;15;20
6699;24.996;20
6695;24;20
6693;30;20
6691;18;20
6687;22.2;20
6685;26.4;20
6683;26.4;20
6681;30;20
6679;26.4;20
6677;26.4;20
6675;26.4;20
6673;26.4;20
6671;24.9;20
6669;21.996;20
6667;30.996;20
6665;30.996;20
6663;26.4;20
6661;26.4;20
6657;24.9;20
6651;24.9;20
6649;24.9;20
6647;35.57142857;20
6643;18;20
6641;30;20
6639;22.74285669;20
6637;42;20
6635;39.996;20
6633;21.6;20
6631;19.2;20
6627;27.996;20
6625;20.004;20
6623;30;20
6621;18;20
6619;20.004;20
6617;20.0004;20
6615;20.004;20
6611;34.17142903;20
6609;42;20
6607;42;20
6605;42;20
6603;42;20
6601;24;20
6597;24;20
6595;24;20
6593;36;20
6589;26.4;20
6585;26.4;20
6581;20.4;20
6577;20.4;20
6575;14.9;20
6573;30;20
6571;14.95;20
6565;35.57142857;20
6563;27;20
6539;35.92;20
6537;51.31428617;20
6535;21.6;20
6531;22.8;20
6529;21.6;20
6523;16.2;20
6517;15.6;20
6509;15.6;20
6507;21;20
6505;22.2;20
6503;20.004;20
6497;16.2;20
6495;18;20
6493;19.2;20
6491;22.8;20
6489;16.2;20
6487;24;20
6483;20.004;20
6481;24;20
6479;16.32;20
6475;19.9;20
6473;19.91;20
6469;24;20
6465;29.6;20
6463;14;20
6461;14.004;20
6459;15.3;20
6457;21.6;20
6455;18.9;20
6453;18.9;20
6451;18.9;20
6443;20.004;20
6441;21.6;20
6437;27;20
6435;20.004;20
6433;20.004;20
6431;20.004;20
6429;22;20
6427;22;20
6425;21.996;20
6421;21.996;20
6413;24.9;20
6411;24.9;20
6409;30;20
6407;24.9;20
6405;24.9;20
6403;30;20
6401;24.9;20
6399;24.9;20
6397;24.9;20
6395;24.9;20
6393;24.9;20
6391;24.9;20
6389;24.9;20
6387;24.9;20
6385;50.4;20
6383;46.2;20
6373;27;20
6371;22.74285669;20
6369;46.2;20
6367;43;20
6365;46.2;20
6363;50.4;20
6361;45;20
6359;45;20
6357;36;20
6355;49.9;20
6353;43;20
6351;20.4;20
6349;18;20
6347;25.2;20
6345;19.2;20
6333;16;20
6331;15.6;20
6285;40;20
6259;9.9;20
6257;9.9;20
6255;9.9;20
6225;26.4;20
6219;36;20
6216;62.4;20
6214;21.996;20
6213;20.004;20
6211;20.004;20
6209;20.004;20
6207;10.9;20
6205;20.0004;20
6203;20.004;20
6201;17.09;20
6199;20.004;20
6197;20.004;20
6195;8.9;20
6193;24;20
6181;9.9;20
6169;8.9;20
6167;14.95;20
6165;8.9;20
6163;18.6;20
6155;60;20
6153;60;20
6151;49.89996;20
6149;60;20
6147;60;20
6145;49.9;20
6143;43;20
6141;39.996;20
6139;49.9;20
6137;49.9;20
6133;49.9;20
6131;39.996;20
6129;39.996;20
6127;49.9;20
6125;36;20
6123;43;20
6121;49.9;20
6119;39.996;20
6117;36;20
6115;36;20
6111;40;20
6109;49.9;20
6107;49.9;20
6105;48;20
6103;60;20
6101;60;20
6099;49.89996;20
6097;46.8;20
6095;60;20
6093;36;20
6091;49.9;20
6089;36;20
6087;49.9;20
6085;49.9;20
6083;36;20
6081;49.9;20
6079;39.996;20
6077;36;20
6075;36;20
6073;60;20
6071;49.9;20
6069;60;20
6067;60;20
6065;49.9;20
6063;9.9;20
6061;9.9;20
6059;11.9;20
6057;11.9;20
6041;24.9;20
6039;24.9;20
6037;24.9;20
6035;24.9;20
6029;24.9;20
6027;20.004;20
