Product ID;Reference;stock entrepôt
8389;239140;47
8387;226680;1938
8386;237010;343
8384;235310;1066
8383;235330;40
8381;235330;40
8380;163;2294
8379;162;6146
8378;161;928
8377;157;2208
8376;152;2735
8375;173;239
8374;172;9168
8373;236980;18
8372;273BI;16
8371;273NC;124
8370;273V;116
8368;274CH;560
8367;284FP;155
8366;284RH;0
8365;284WW;852
8364;284WI;2044
8363;284OR;228
8362;284CH;11684
8361;284CF;54
8360;284BD;1524
8359;99301;592
8358;69942;8730
8357;71903;4029
8356;251380;3054
8355;241820;203
8354;63501;2270
8352;99302;622
8351;69941;6860
8350;742;64
8348;239730;16
8347;239880;12
8346;241210;19
8345;241200;19
8344;239720;4
8343;238120;3
8342;221890;0
8341;238090;15
8340;239870;28
8339;239750;13
8338;239740;17
8337;238110;8
8336;239830;27
8335;239780;11
8334;241330;28
8333;241190;26
8332;239770;4
8331;239860;6
8330;239800;9
8329;239840;13
8328;239760;6
8327;239790;6
8326;250570;49
8325;250770;50
8324;250560;45
8323;250670;25
8322;250660;25
8321;250640;60
8320;250590;39
8319;250680;68
8318;250820;30
8317;250550;48
8316;250580;59
8315;250830;14
8314;250760;28
8313;250530;26
8312;250750;9
8311;250700;47
8310;250610;27
8309;250710;27
8308;250600;42
8307;250540;38
8306;250790;28
8305;250520;54
8304;250650;13
8303;248670;29
8301;247280;196
8300;247270;0
8299;247230;170
8298;247220;92
8297;247210;391
8296;247200;220
8295;247170;0
8294;247160;223
8293;247150;337
8292;247140;14
8291;247130;0
8290;247120;40
8289;247110;573
8288;247100;0
8287;247090;237
8286;247080;698
8285;247070;0
8283;247060;490
8282;247030;356
8281;247020;53
8280;247010;450
8279;247490;0
8277;247460;1083
8276;247260;140
8274;246980;0
8273;246970;77
8271;247000;974
8270;247190;0
8269;247500;669
8267;247540;947
8265;247530;2534
8264;247480;104
8263;247300;624
8262;247240;170
8260;247510;1251
8257;247050;467
8256;247040;302
8255;246990;0
8252;246940;37
8251;246930;250
8250;247560;260
8249;247470;1282
8248;247450;1861
8247;247420;481
8246;239810;15
8245;581400;36410
8244;161031;116
8243;161029;51
8241;161028;53
8240;151031;370
8238;151029;215
8237;151028;177
8235;141031;346
8234;131031;40
8233;141029;113
8230;141028;120
8229;131029;59
8227;131028;127
8226;69940;7314
8223;654;3119
8215;902560;0
8214;902550;0
8213;902540;18
8212;902530;19
8211;902520;19
8210;902510;18
8209;902500;19
8208;902490;19
8207;902480;19
8206;902470;19
8205;902460;71
8204;902450;48
8203;902440;83
8202;902430;84
8201;902420;71
8200;902410;0
8199;902400;81
8198;902390;140
8197;902380;103
8196;902370;21
8195;902360;99
8194;902350;110
8193;902340;76
8192;902330;80
8191;902320;32
8190;902310;67
8189;902300;68
8188;902290;79
8187;902280;75
8186;902270;187
8185;902260;65
8184;902250;0
8183;902240;66
8182;902230;14
8181;902220;87
8180;902210;42
8179;902200;17
8178;902190;54
8177;902180;67
8176;902170;52
8173;902140;63
8172;902130;98
8171;902120;252
8170;902110;199
8169;902100;302
8167;902080;270
8166;902070;121
8163;902040;125
8153;902000;56
8149;249920;#N/A
8148;987;3129
8147;106;2289
8140;2403633;10
8139;2403632;8
8138;2403631;7
8137;2403629;4
8136;2403625;10
8134;2403623;0
