Product ID;Reference;Quantity
8393;250970;0
5971;223130;0
8285;247070;756
6385;231750;0
6801;191240;0
6363;231750;0
6797;231460;0
5217;191950;0
8292;247140;2177
8294;247160;537
2182;174290;0
7229;733;0
8276;247260;0
8288;247100;1741
8005;244430;59
8003;244420;0
8291;247130;664
8293;247150;0
7963;243960;957
8000;243970;396
7940;237030;35
233;147790;1462
7777;225990;0
7685;CHP102EU;0
6214;222140;0
6351;229520;0
5127;187520;0
6197;226430;0
7387;97104;0
7447;97607;0
6691;235280;0
8030;236370;0
7013;43012;0
7015;43015;0
8051;151;4628
8375;173;0
7855;PORT;0
6153;221990;1
8255;246990;468
8298;247220;0
8343;238120;1
7861;202480;1
7863;202480;1
6089;221690;0
6093;221950;1
6125;221750;1
150;180650;1
3651;180650;1
7523;69701;999
8332;239770;2
5687;194960;2
7081;54104;0
7233;735;0
8300;247270;0
6359;231780;3
6079;221620;3
4785;180330;3
5591;P0R0897X;3
7235;735B;0
8087;2362727;4
8099;2403582;4
8116;2403600;4
8137;2403629;4
8337;238110;4
8344;239720;4
5807;201540;13
8290;247120;0
8068;2329032;5
8088;2362730;5
8328;239760;5
5853;231390;5
6611;231550;15
7932;244450;188
7515;872;0
8058;2328974;6
8070;2329041;5
8073;2329048;6
8078;2362692;6
8114;2403598;6
8115;2403599;6
8118;2403604;6
8122;2403608;6
8327;239790;6
8331;239860;5
7879;202450;6
2062;174500;7
6147;221910;7
8074;2329051;7
8089;2362739;7
8098;2403581;7
8121;2403605;7
8126;2403611;7
8127;2403612;7
8138;2403631;7
6355;231790;7
3002;164760;1673
7881;2403628;8
8059;2328975;8
8060;2328978;8
8061;2328979;8
8062;2328992;8
8069;2329040;8
8080;2362696;8
8081;2362698;8
8090;2362746;8
8094;2362756;8
8096;2362784;8
8101;2403584;8
8105;2403586;8
8113;2403596;8
8139;2403632;8
6607;231350;8
6141;221880;7
6357;231770;8
6067;221820;9
6101;222010;9
8063;2328999;9
8067;2329017;9
8075;2329052;9
8079;2362694;9
8082;2362704;9
8095;2362767;9
8108;2403590;9
8124;2403609;9
8125;2403610;9
8128;2403613;9
8131;2403619;9
8330;239800;9
5835;201640;9
5841;201670;18
5847;201700;9
5849;201700;9
8056;2328971;10
8057;2328973;10
8064;2329001;10
8066;2329015;10
8071;2329042;10
8072;2329042;10
8076;2329053;10
8084;2362713;10
8086;2362719;10
8097;2403580;10
8100;2403583;10
8104;2403585;10
8106;2403588;10
8109;2403591;10
8110;2403592;10
8111;2403593;10
8112;2403594;10
8130;2403618;10
8132;2403620;10
8136;2403625;10
8140;2403633;10
6123;221630;10
6361;231820;10
6605;231340;8
154;180790;9
3785;180790;9
8335;239780;11
5845;201690;10
5851;201710;9
5855;201710;9
3691;180600;50
5105;180600;50
2052;174490;12
8117;2403601;12
8339;239750;12
8347;239880;12
7383;97101;0
6637;231560;12
6119;221790;12
8307;250540;43
2082;174520;13
6103;222000;13
8329;239840;13
5833;201620;13
5843;201680;10
5839;201660;10
145;180830;50
146;180830;50
3797;180830;50
7225;731;14
5811;201550;13
5813;201550;13
5815;201550;13
5823;201580;14
6003;226500;51
3795;180820;12
8153;902000;10
3525;164580;14
8341;238090;15
8246;239810;15
5825;201590;12
5827;201590;12
6603;201630;13
3775;180320;12
6769;196100;0
8179;902200;15
8065;2329002;16
8348;239730;16
6097;226180;16
5197;195030;13
5671;195030;13
8338;239740;17
5803;201530;17
5805;201530;17
5817;201560;17
8213;902540;17
7449;97608;0
5829;201600;26
7227;732;6
8207;902480;18
8210;902510;18
8209;902500;18
8212;902530;18
8200;902410;17
2072;174510;19
6069;221850;19
8345;241200;19
8346;241210;19
5819;201570;32
5821;201570;32
6609;231380;24
8208;902490;19
8211;902520;19
8206;902470;19
8215;902560;19
8214;902550;19
6367;231800;20
5837;201650;17
8295;247170;0
6075;221940;20
8196;902370;20
6143;221660;21
149;195020;21
5701;195020;21
6365;231740;21
5661;195010;18
8182;902230;22
118;180750;21
3639;180750;21
6965;24301;18
131;180590;22
132;180590;22
5023;180590;22
7873;202490;24
138;180740;51
139;180740;51
3633;180740;51
5125;185880;463
8333;241190;26
152;180460;24
3747;180460;24
3793;180810;4
6585;228260;0
7189;651;0
6331;228820;26
8336;239830;27
5831;201610;27
109;180550;20
110;180550;20
111;180550;20
112;180560;59
3677;180550;20
3681;180560;59
4551;180450;61
6699;574B;27
7065;519;27
8334;241330;28
8340;239870;28
6809;223320;28
5665;194980;68
5681;195070;28
6353;231810;28
6155;226210;30
8184;902250;30
8191;902320;30
1102;174390;29
5799;201520;36
5801;201520;36
6409;231570;29
6779;223230;28
8180;902210;31
7875;202470;32
126;180520;64
127;180520;64
3667;180520;64
8317;250550;25
7201;683;0
3551;515001;32
6007;223330;33
6455;234170;32
2102;174540;34
8229;131029;27
106;180430;32
4543;180430;32
1122;174410;36
4533;180400;30
8363;284OR;24
6371;230850;36
8243;161029;30
8325;250770;34
116;180730;33
117;180730;33
123;180500;37
124;180500;37
125;180500;37
3629;180730;33
3659;180500;37
287;448506;39
8303;248670;13
8312;250750;37
8326;250570;37
6035;448533;39
2042;174480;40
8204;902450;40
6015;226530;38
8321;250640;39
8176;902170;41
6073;221930;42
6665;226510;29
6667;226510;29
156;180390;70
3923;180390;70
8316;250580;39
6963;243;32
8026;244870;24
107;180530;29
108;180530;29
3671;180530;29
3931;180410;39
8304;250650;43
8308;250600;39
8313;250530;41
8315;250830;44
8178;902190;43
7773;240040;44
4325;180380;39
6563;180380;39
8314;250760;43
6095;226170;46
7934;241970;47
4177;180310;30
8323;250670;40
7497;999;2963
8025;244860;0
8043;238200;42
6661;237120;13
6663;237120;13
135;180670;43
3781;180350;44
4615;180670;43
8306;250790;47
7974;244000;1005
120;180440;50
121;180440;50
3741;180440;50
2092;174530;51
2032;174470;50
6731;694;308
8173;902140;50
7351;934;34
8309;250710;53
8310;250610;51
8322;250660;51
8361;284CF;174
6403;231580;84
8320;250590;53
8318;250820;56
2232;174660;57
7890;244340;649
6013;223360;58
6225;231830;46
5697;192840;52
7771;240030;60
8350;742;38
8319;250680;41
7877;202460;63
5705;197690;60
6009;223350;53
8190;902310;63
8189;902300;63
8185;902260;63
105;192860;55
5653;192860;55
8177;902180;64
7195;679;61
8264;247480;1735
147;180760;52
3643;180760;52
7867;202510;65
7869;202510;65
7871;202510;65
8234;131031;60
8183;902240;66
8187;902280;67
8370;273V;68
8205;902460;68
8324;250560;67
6595;406;225
8172;902130;68
3615;180690;60
8305;250520;67
7817;243570;68
7910;881;70
6011;223340;65
8311;250700;69
8201;902420;71
7807;233870;58
8301;247280;53
7571;284CS;168
8203;902440;72
8193;902340;73
8273;246970;36
8192;902330;74
8188;902290;75
153;194970;68
5689;194970;68
7471;98710;0
7525;239250;80
7391;97201;63
7865;202500;77
8181;902220;79
8199;902400;78
7367;949;57
142;180720;76
143;180720;76
4633;180720;76
8202;902430;82
3537;199260;79
6677;235130;101
6679;235130;101
6829;013/991;80
7769;240020;81
8036;233960;85
5719;192850;68
2222;174590;23
159;180660;74
3653;180660;74
7339;911;71
8230;141028;102
5995;226570;0
4337;180420;66
5235;180420;66
7023;440;90
8195;902360;93
8166;902070;92
8027;244440;0
5695;192820;90
8197;902380;101
8163;902040;101
157;180620;86
158;180620;86
3697;180620;86
6673;237130;90
6675;237130;90
6729;696;99
6939;19206;94
8194;902350;107
8371;273NC;92
114;180680;91
115;180680;91
4617;180680;91
6733;69401;394
8227;131028;108
7193;678;110
6333;228830;117
6443;234350;118
7533;284A;0
6925;18001;72
6565;231500;104
6647;231500;104
7972;243840;1087
7803;243070;121
5311;190750;122
7389;972;0
5575;174430;126
1392;176320;87
8244;161031;162
8198;902390;129
8233;141029;139
7920;107;0
7379;97001;129
5315;190770;128
7299;829;138
7203;684;118
5313;190760;136
3535;164560;220
8279;247490;904
6927;18009;109
7805;233860;275
6707;870;145
7992;243920;116
8241;161028;133
7892;244360;667
7335;909;138
7891;244350;844
5113;186380;88
242;170960;1646
5309;190740;151
6437;234340;101
7113;565;0
234;147800;661
7337;910;88
330;174150;0
7199;681;151
7967;243930;1146
243;170970;669
5731;200480;588
7994;243760;1552
7637;SM0022;167
7999;244010;1054
8170;902110;161
8237;151028;215
8018;244830;121
8014;244970;171
235;147810;695
7347;931;145
6531;129;174
8017;244990;175
8012;244960;179
7381;971;0
8015;244980;175
6961;240;0
7345;914;135
8186;902270;182
247;174840;307
6373;228270;341
6639;235400;179
8367;284FP;192
7669;CHP2004EU;192
8297;247210;138
7990;243990;1115
8262;247240;167
7359;945;200
7753;241130;205
7902;225;204
7585;274BI;190
7984;243630;212
7247;777;188
3481;164510;558
7491;99002;195
7197;680;203
8299;247230;148
7964;243860;216
