id_product;Ref;Id_group client;Qté minimum;Prix fixe
8349;221890;47;1;19.9
8348;239730;47;1;19.9
8347;239880;47;1;19.9
8346;241210;47;1;19.9
8345;241200;47;1;19.9
8344;239720;47;1;19.9
8343;238120;47;1;19.9
8342;221890;47;1;19.9
8341;238090;47;1;19.9
8340;239870;47;1;19.9
8339;239750;47;1;19.9
8338;239740;47;1;19.9
8337;238110;47;1;19.9
8336;239830;47;1;19.9
8335;239780;47;1;19.9
8334;241330;47;1;19.9
8333;241190;47;1;19.9
8332;239770;47;1;19.9
8331;239860;47;1;19.9
8330;239800;47;1;19.9
8329;239840;47;1;19.9
8328;239760;47;1;19.9
8327;239790;47;1;19.9
8326;250570;47;1;11.5
8325;250770;47;1;11.5
8324;250560;47;1;11.5
8323;250670;47;1;11.5
8322;250660;47;1;11.5
8321;250640;47;1;11.5
8320;250590;47;1;11.5
8319;250680;47;1;11.5
8318;250820;47;1;11.5
8317;250550;47;1;11.5
8316;250580;47;1;11.5
8315;250830;47;1;11.5
8314;250760;47;1;11.5
8313;250530;47;1;11.5
8312;250750;47;1;11.5
8311;250700;47;1;11.5
8310;250610;47;1;11.5
8309;250710;47;1;11.5
8308;250600;47;1;11.5
8307;250540;47;1;11.5
8306;250790;47;1;11.5
8305;250520;47;1;11.5
8304;250650;47;1;11.5
8303;248670;47;1;11.5
8349;221890;19;1;21.89
8348;239730;19;1;21.89
8347;239880;19;1;21.89
8346;241210;19;1;21.89
8345;241200;19;1;21.89
8344;239720;19;1;21.89
8343;238120;19;1;21.89
8342;221890;19;1;21.89
8341;238090;19;1;21.89
8340;239870;19;1;21.89
8339;239750;19;1;21.89
8338;239740;19;1;21.89
8337;238110;19;1;21.89
8336;239830;19;1;21.89
8335;239780;19;1;21.89
8334;241330;19;1;21.89
8333;241190;19;1;21.89
8332;239770;19;1;21.89
8331;239860;19;1;21.89
8330;239800;19;1;21.89
8329;239840;19;1;21.89
8328;239760;19;1;21.89
8327;239790;19;1;21.89
8326;250570;19;1;12.65
8325;250770;19;1;12.65
8324;250560;19;1;12.65
8323;250670;19;1;12.65
8322;250660;19;1;12.65
8321;250640;19;1;12.65
8320;250590;19;1;12.65
8319;250680;19;1;12.65
8318;250820;19;1;12.65
8317;250550;19;1;12.65
8316;250580;19;1;12.65
8315;250830;19;1;12.65
8314;250760;19;1;12.65
8313;250530;19;1;12.65
8312;250750;19;1;12.65
8311;250700;19;1;12.65
8310;250610;19;1;12.65
8309;250710;19;1;12.65
8308;250600;19;1;12.65
8307;250540;19;1;12.65
8306;250790;19;1;12.65
8305;250520;19;1;12.65
8304;250650;19;1;12.65
8303;248670;19;1;12.65
8349;221890;31;1;20.9
8348;239730;31;1;20.9
8347;239880;31;1;20.9
8346;241210;31;1;20.9
8345;241200;31;1;20.9
8344;239720;31;1;20.9
8343;238120;31;1;20.9
8342;221890;31;1;20.9
8341;238090;31;1;20.9
8340;239870;31;1;20.9
8339;239750;31;1;20.9
8338;239740;31;1;20.9
8337;238110;31;1;20.9
8336;239830;31;1;20.9
8335;239780;31;1;20.9
8334;241330;31;1;20.9
8333;241190;31;1;20.9
8332;239770;31;1;20.9
8331;239860;31;1;20.9
8330;239800;31;1;20.9
8329;239840;31;1;20.9
8328;239760;31;1;20.9
8327;239790;31;1;20.9
8326;250570;31;1;12.08
8325;250770;31;1;12.08
8324;250560;31;1;12.08
8323;250670;31;1;12.08
8322;250660;31;1;12.08
8321;250640;31;1;12.08
8320;250590;31;1;12.08
8319;250680;31;1;12.08
8318;250820;31;1;12.08
8317;250550;31;1;12.08
8316;250580;31;1;12.08
8315;250830;31;1;12.08
8314;250760;31;1;12.08
8313;250530;31;1;12.08
8312;250750;31;1;12.08
8311;250700;31;1;12.08
8310;250610;31;1;12.08
8309;250710;31;1;12.08
8308;250600;31;1;12.08
8307;250540;31;1;12.08
8306;250790;31;1;12.08
8305;250520;31;1;12.08
8304;250650;31;1;12.08
8303;248670;31;1;12.08
